scenario_id,scenario_name,minute,ship_x_nm,ship_y_nm,torpedo_x_nm,torpedo_y_nm,selected_safe_zone_id,selected_safe_zone_bearing,safe_zone_x_nm,safe_zone_y_nm,separation_nm,distance_to_safe_zone_nm,ship_speed_knots,torpedo_speed_knots,result,message
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,0,20.0,40.0,0.0,0.0,1,0.0,20.0,90.0,44.72,50.0,37.0,30.0,RUNNING,Minute 0: Simulation started. Best safe zone selected: Zone 1 at bearing 0.0°.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,1,20.0,40.62,0.22,0.45,1,0.0,20.0,90.0,44.77,49.38,37.0,30.0,RUNNING,Minute 1: Separation: 44.77 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,2,20.0,41.23,0.44,0.9,1,0.0,20.0,90.0,44.83,48.77,37.0,30.0,RUNNING,Minute 2: Separation: 44.83 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,3,20.0,41.85,0.65,1.35,1,0.0,20.0,90.0,44.88,48.15,37.0,30.0,RUNNING,Minute 3: Separation: 44.88 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,4,20.0,42.47,0.87,1.8,1,0.0,20.0,90.0,44.94,47.53,37.0,30.0,RUNNING,Minute 4: Separation: 44.94 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,5,20.0,43.08,1.08,2.26,1,0.0,20.0,90.0,45.0,46.92,37.0,30.0,RUNNING,Minute 5: Separation: 45.0 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,6,20.0,43.7,1.29,2.71,1,0.0,20.0,90.0,45.06,46.3,37.0,30.0,RUNNING,Minute 6: Separation: 45.06 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,7,20.0,44.32,1.49,3.17,1,0.0,20.0,90.0,45.12,45.68,37.0,30.0,RUNNING,Minute 7: Separation: 45.12 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,8,20.0,44.93,1.69,3.62,1,0.0,20.0,90.0,45.18,45.07,37.0,30.0,RUNNING,Minute 8: Separation: 45.18 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,9,20.0,45.55,1.89,4.08,1,0.0,20.0,90.0,45.25,44.45,37.0,30.0,RUNNING,Minute 9: Separation: 45.25 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,10,20.0,46.17,2.09,4.54,1,0.0,20.0,90.0,45.31,43.83,37.0,30.0,RUNNING,Minute 10: Separation: 45.31 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,11,20.0,46.78,2.29,5.0,1,0.0,20.0,90.0,45.38,43.22,37.0,30.0,RUNNING,Minute 11: Separation: 45.38 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,12,20.0,47.4,2.48,5.46,1,0.0,20.0,90.0,45.45,42.6,37.0,30.0,RUNNING,Minute 12: Separation: 45.45 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,13,20.0,48.02,2.67,5.93,1,0.0,20.0,90.0,45.52,41.98,37.0,30.0,RUNNING,Minute 13: Separation: 45.52 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,14,20.0,48.63,2.86,6.39,1,0.0,20.0,90.0,45.59,41.37,37.0,30.0,RUNNING,Minute 14: Separation: 45.59 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,15,20.0,49.25,3.04,6.85,1,0.0,20.0,90.0,45.66,40.75,37.0,30.0,RUNNING,Minute 15: Separation: 45.66 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,16,20.0,49.87,3.23,7.32,1,0.0,20.0,90.0,45.74,40.13,37.0,30.0,RUNNING,Minute 16: Separation: 45.74 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,17,20.0,50.48,3.41,7.78,1,0.0,20.0,90.0,45.81,39.52,37.0,30.0,RUNNING,Minute 17: Separation: 45.81 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,18,20.0,51.1,3.59,8.25,1,0.0,20.0,90.0,45.89,38.9,37.0,30.0,RUNNING,Minute 18: Separation: 45.89 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,19,20.0,51.72,3.76,8.72,1,0.0,20.0,90.0,45.96,38.28,37.0,30.0,RUNNING,Minute 19: Separation: 45.96 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,20,20.0,52.33,3.94,9.19,1,0.0,20.0,90.0,46.04,37.67,37.0,30.0,RUNNING,Minute 20: Separation: 46.04 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,21,20.0,52.95,4.11,9.66,1,0.0,20.0,90.0,46.12,37.05,37.0,30.0,RUNNING,Minute 21: Separation: 46.12 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,22,20.0,53.57,4.28,10.13,1,0.0,20.0,90.0,46.2,36.43,37.0,30.0,RUNNING,Minute 22: Separation: 46.2 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,23,20.0,54.18,4.45,10.6,1,0.0,20.0,90.0,46.28,35.82,37.0,30.0,RUNNING,Minute 23: Separation: 46.28 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,24,20.0,54.8,4.61,11.07,1,0.0,20.0,90.0,46.36,35.2,37.0,30.0,RUNNING,Minute 24: Separation: 46.36 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,25,20.0,55.42,4.78,11.54,1,0.0,20.0,90.0,46.44,34.58,37.0,30.0,RUNNING,Minute 25: Separation: 46.44 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,26,20.0,56.03,4.94,12.01,1,0.0,20.0,90.0,46.52,33.97,37.0,30.0,RUNNING,Minute 26: Separation: 46.52 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,27,20.0,56.65,5.1,12.49,1,0.0,20.0,90.0,46.61,33.35,37.0,30.0,RUNNING,Minute 27: Separation: 46.61 NM.
