scenario_id,scenario_name,minute,ship_x_nm,ship_y_nm,torpedo_x_nm,torpedo_y_nm,selected_safe_zone_id,selected_safe_zone_bearing,safe_zone_x_nm,safe_zone_y_nm,separation_nm,distance_to_safe_zone_nm,ship_speed_knots,torpedo_speed_knots,result,message
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,0,20.0,40.0,0.0,0.0,1,0.0,20.0,240.0,44.72,200.0,37.0,30.0,RUNNING,Minute 0: Simulation started. Best safe zone selected: Zone 1 at bearing 0.0°.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,1,20.0,40.62,0.22,0.45,1,0.0,20.0,240.0,44.77,199.38,37.0,30.0,RUNNING,Minute 1: Separation: 44.77 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,2,20.0,41.23,0.44,0.9,1,0.0,20.0,240.0,44.83,198.77,37.0,30.0,RUNNING,Minute 2: Separation: 44.83 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,3,20.0,41.85,0.65,1.35,1,0.0,20.0,240.0,44.88,198.15,37.0,30.0,RUNNING,Minute 3: Separation: 44.88 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,4,20.0,42.47,0.87,1.8,1,0.0,20.0,240.0,44.94,197.53,37.0,30.0,RUNNING,Minute 4: Separation: 44.94 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,5,20.0,43.08,1.08,2.26,1,0.0,20.0,240.0,45.0,196.92,37.0,30.0,RUNNING,Minute 5: Separation: 45.0 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,6,20.0,43.7,1.29,2.71,1,0.0,20.0,240.0,45.06,196.3,37.0,30.0,RUNNING,Minute 6: Separation: 45.06 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,7,20.0,44.32,1.49,3.17,1,0.0,20.0,240.0,45.12,195.68,37.0,30.0,RUNNING,Minute 7: Separation: 45.12 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,8,20.0,44.93,1.69,3.62,1,0.0,20.0,240.0,45.18,195.07,37.0,30.0,RUNNING,Minute 8: Separation: 45.18 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,9,20.0,45.55,1.89,4.08,1,0.0,20.0,240.0,45.25,194.45,37.0,30.0,RUNNING,Minute 9: Separation: 45.25 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,10,20.0,46.17,2.09,4.54,1,0.0,20.0,240.0,45.31,193.83,37.0,30.0,RUNNING,Minute 10: Separation: 45.31 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,11,20.0,46.78,2.29,5.0,1,0.0,20.0,240.0,45.38,193.22,37.0,30.0,RUNNING,Minute 11: Separation: 45.38 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,12,20.0,47.4,2.48,5.46,1,0.0,20.0,240.0,45.45,192.6,37.0,30.0,RUNNING,Minute 12: Separation: 45.45 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,13,20.0,48.02,2.67,5.93,1,0.0,20.0,240.0,45.52,191.98,37.0,30.0,RUNNING,Minute 13: Separation: 45.52 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,14,20.0,48.63,2.86,6.39,1,0.0,20.0,240.0,45.59,191.37,37.0,30.0,RUNNING,Minute 14: Separation: 45.59 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,15,20.0,49.25,3.04,6.85,1,0.0,20.0,240.0,45.66,190.75,37.0,30.0,RUNNING,Minute 15: Separation: 45.66 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,16,20.0,49.87,3.23,7.32,1,0.0,20.0,240.0,45.74,190.13,37.0,30.0,RUNNING,Minute 16: Separation: 45.74 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,17,20.0,50.48,3.41,7.78,1,0.0,20.0,240.0,45.81,189.52,37.0,30.0,RUNNING,Minute 17: Separation: 45.81 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,18,20.0,51.1,3.59,8.25,1,0.0,20.0,240.0,45.89,188.9,37.0,30.0,RUNNING,Minute 18: Separation: 45.89 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,19,20.0,51.72,3.76,8.72,1,0.0,20.0,240.0,45.96,188.28,37.0,30.0,RUNNING,Minute 19: Separation: 45.96 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,20,20.0,52.33,3.94,9.19,1,0.0,20.0,240.0,46.04,187.67,37.0,30.0,RUNNING,Minute 20: Separation: 46.04 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,21,20.0,52.95,4.11,9.66,1,0.0,20.0,240.0,46.12,187.05,37.0,30.0,RUNNING,Minute 21: Separation: 46.12 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,22,20.0,53.57,4.28,10.13,1,0.0,20.0,240.0,46.2,186.43,37.0,30.0,RUNNING,Minute 22: Separation: 46.2 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,23,20.0,54.18,4.45,10.6,1,0.0,20.0,240.0,46.28,185.82,37.0,30.0,RUNNING,Minute 23: Separation: 46.28 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,24,20.0,54.8,4.61,11.07,1,0.0,20.0,240.0,46.36,185.2,37.0,30.0,RUNNING,Minute 24: Separation: 46.36 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,25,20.0,55.42,4.78,11.54,1,0.0,20.0,240.0,46.44,184.58,37.0,30.0,RUNNING,Minute 25: Separation: 46.44 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,26,20.0,56.03,4.94,12.01,1,0.0,20.0,240.0,46.52,183.97,37.0,30.0,RUNNING,Minute 26: Separation: 46.52 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,27,20.0,56.65,5.1,12.49,1,0.0,20.0,240.0,46.61,183.35,37.0,30.0,RUNNING,Minute 27: Separation: 46.61 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,28,20.0,57.27,5.26,12.96,1,0.0,20.0,240.0,46.69,182.73,37.0,30.0,RUNNING,Minute 28: Separation: 46.69 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,29,20.0,57.88,5.41,13.44,1,0.0,20.0,240.0,46.78,182.12,37.0,30.0,RUNNING,Minute 29: Separation: 46.78 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,30,20.0,58.5,5.57,13.91,1,0.0,20.0,240.0,46.86,181.5,37.0,30.0,RUNNING,Minute 30: Separation: 46.86 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,31,20.0,59.12,5.72,14.39,1,0.0,20.0,240.0,46.95,180.88,37.0,30.0,RUNNING,Minute 31: Separation: 46.95 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,32,20.0,59.73,5.87,14.87,1,0.0,20.0,240.0,47.04,180.27,37.0,30.0,RUNNING,Minute 32: Separation: 47.04 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,33,20.0,60.35,6.02,15.34,1,0.0,20.0,240.0,47.13,179.65,37.0,30.0,RUNNING,Minute 33: Separation: 47.13 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,34,20.0,60.97,6.16,15.82,1,0.0,20.0,240.0,47.22,179.03,37.0,30.0,RUNNING,Minute 34: Separation: 47.22 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,35,20.0,61.58,6.31,16.3,1,0.0,20.0,240.0,47.31,178.42,37.0,30.0,RUNNING,Minute 35: Separation: 47.31 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,36,20.0,62.2,6.45,16.78,1,0.0,20.0,240.0,47.4,177.8,37.0,30.0,RUNNING,Minute 36: Separation: 47.4 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,37,20.0,62.82,6.59,17.26,1,0.0,20.0,240.0,47.49,177.18,37.0,30.0,RUNNING,Minute 37: Separation: 47.49 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,38,20.0,63.43,6.73,17.74,1,0.0,20.0,240.0,47.58,176.57,37.0,30.0,RUNNING,Minute 38: Separation: 47.58 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,39,20.0,64.05,6.87,18.22,1,0.0,20.0,240.0,47.67,175.95,37.0,30.0,RUNNING,Minute 39: Separation: 47.67 NM.
3,Scenario Data - OPERATION SAPPHIRE GAUNTLET,40,20.0,64.67,7.01,18.7,1,0.0,20.0,240.0,47.77,175.33,37.0,30.0,RUNNING,Minute 40: Separation: 47.77 NM.
