scenario_id,scenario_name,minute,ship_x_nm,ship_y_nm,torpedo_x_nm,torpedo_y_nm,selected_safe_zone_id,selected_safe_zone_bearing,safe_zone_x_nm,safe_zone_y_nm,separation_nm,distance_to_safe_zone_nm,ship_speed_knots,torpedo_speed_knots,countermeasure_active,countermeasure_timer,torpedo_lost_contact_timer,result,message
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,0,20.0,40.0,0.0,0.0,1,0.0,20.0,140.0,44.72,100.0,36.0,100.0,N,0,0,RUNNING,Minute 0: Simulation started. Best safe zone selected: Zone 1 at bearing 0.0°.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,1,20.0,40.6,0.74,1.5,1,0.0,20.0,140.0,43.59,99.4,36.0,100.0,N,0,0,RUNNING,Minute 1: Separation: 43.59 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,2,20.0,41.2,1.46,2.99,1,0.0,20.0,140.0,42.46,98.8,36.0,100.0,N,0,0,RUNNING,Minute 2: Separation: 42.46 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,3,20.0,41.8,2.18,4.5,1,0.0,20.0,140.0,41.34,98.2,36.0,100.0,N,0,0,RUNNING,Minute 3: Separation: 41.34 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,4,20.0,42.4,2.89,6.01,1,0.0,20.0,140.0,40.21,97.6,36.0,100.0,N,0,0,RUNNING,Minute 4: Separation: 40.21 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,5,20.0,43.0,3.59,7.52,1,0.0,20.0,140.0,39.09,97.0,36.0,100.0,N,0,0,RUNNING,Minute 5: Separation: 39.09 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,6,20.0,43.6,4.28,9.04,1,0.0,20.0,140.0,37.97,96.4,36.0,100.0,N,0,0,RUNNING,Minute 6: Separation: 37.97 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,7,20.0,44.2,4.96,10.56,1,0.0,20.0,140.0,36.85,95.8,36.0,100.0,N,0,0,RUNNING,Minute 7: Separation: 36.85 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,8,20.0,44.8,5.63,12.08,1,0.0,20.0,140.0,35.73,95.2,36.0,100.0,N,0,0,RUNNING,Minute 8: Separation: 35.73 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,9,20.0,45.4,6.29,13.61,1,0.0,20.0,140.0,34.62,94.6,36.0,100.0,N,0,0,RUNNING,Minute 9: Separation: 34.62 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,10,20.0,46.0,6.94,15.15,1,0.0,20.0,140.0,33.5,94.0,36.0,100.0,N,0,0,RUNNING,Minute 10: Separation: 33.5 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,11,20.0,46.6,7.58,16.69,1,0.0,20.0,140.0,32.39,93.4,36.0,100.0,N,0,0,RUNNING,Minute 11: Separation: 32.39 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,12,20.0,47.2,8.21,18.23,1,0.0,20.0,140.0,31.28,92.8,36.0,100.0,N,0,0,RUNNING,Minute 12: Separation: 31.28 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,13,20.0,47.8,8.83,19.78,1,0.0,20.0,140.0,30.17,92.2,36.0,100.0,N,0,0,RUNNING,Minute 13: Separation: 30.17 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,14,20.0,48.4,9.43,21.33,1,0.0,20.0,140.0,29.06,91.6,36.0,100.0,N,0,0,RUNNING,Minute 14: Separation: 29.06 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,15,20.0,49.0,10.03,22.89,1,0.0,20.0,140.0,27.95,91.0,36.0,100.0,N,0,0,RUNNING,Minute 15: Separation: 27.95 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,16,20.0,49.6,10.61,24.45,1,0.0,20.0,140.0,26.84,90.4,36.0,100.0,N,0,0,RUNNING,Minute 16: Separation: 26.84 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,17,20.0,50.2,11.18,26.02,1,0.0,20.0,140.0,25.74,89.8,36.0,100.0,N,0,0,RUNNING,Minute 17: Separation: 25.74 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,18,20.0,50.8,11.74,27.59,1,0.0,20.0,140.0,24.64,89.2,36.0,100.0,N,0,0,RUNNING,Minute 18: Separation: 24.64 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,19,20.0,51.4,12.29,29.16,1,0.0,20.0,140.0,23.54,88.6,36.0,100.0,N,0,0,RUNNING,Minute 19: Separation: 23.54 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,20,20.0,52.0,12.82,30.74,1,0.0,20.0,140.0,22.44,88.0,36.0,100.0,N,0,0,RUNNING,Minute 20: Separation: 22.44 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,21,20.0,52.6,13.34,32.32,1,0.0,20.0,140.0,21.34,87.4,36.0,100.0,N,0,0,RUNNING,Minute 21: Separation: 21.34 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,22,20.0,53.2,13.85,33.91,1,0.0,20.0,140.0,20.25,86.8,36.0,100.0,N,0,0,RUNNING,Minute 22: Separation: 20.25 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,23,20.0,53.8,14.34,35.5,1,0.0,20.0,140.0,19.15,86.2,36.0,100.0,N,0,0,RUNNING,Minute 23: Separation: 19.15 NM.
2,Scenario Data - OPERATION SAPPHIRE GAUNTLET,24,20.0,54.4,14.34,35.5,1,0.0,20.0,140.0,19.73,85.6,36.0,100.0,Y,10,20,RUNNING,Minute 24: Separation: 19.73 NM.
